geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
National,NA,NA,All,2010-11,201052,30,4581,4611,52807,8.7317969209,110.9868746
National,NA,NA,All,2010-11,201101,53,4817,4870,53608,9.0844650052,112.67037274
National,NA,NA,All,2010-11,201102,66,4725,4791,52850,9.0652790918,111.07724966
National,NA,NA,All,2010-11,201103,67,4715,4782,52597,9.0917732951,110.54550804
National,NA,NA,All,2010-11,201104,88,4820,4908,52455,9.356591364,110.24706018
National,NA,NA,All,2010-11,201105,106,4705,4811,52201,9.2162985383,109.71321683
National,NA,NA,All,2010-11,201106,150,4755,4905,52927,9.2674816256,111.23908406
National,NA,NA,All,2010-11,201107,192,4970,5162,53560,9.6377893951,112.56948896
National,NA,NA,All,2010-11,201108,173,5013,5186,52444,9.8886431241,110.22394098
National,NA,NA,All,2010-11,201109,183,4822,5005,52343,9.5619280515,110.01166469
National,NA,NA,All,2010-11,201110,165,4727,4892,51830,9.4385491028,108.93346925
National,NA,NA,All,2010-11,201111,148,4500,4648,50859,9.1389921155,106.89267437
National,NA,NA,All,2010-11,201112,94,4339,4433,49874,8.8883987649,104.82245505
National,NA,NA,All,2010-11,201113,79,4190,4269,49504,8.6235455721,104.04480921
National,NA,NA,All,2010-11,201114,76,4064,4140,49860,8.3032490975,104.79303061
National,NA,NA,All,2010-11,201115,47,3965,4012,48342,8.2992015225,101.60258094
National,NA,NA,All,2010-11,201116,32,3896,3928,48019,8.1800953789,100.92371715
National,NA,NA,All,2010-11,201117,13,3696,3709,47592,7.7933266095,100.02627182
National,NA,NA,All,2010-11,201118,20,3747,3767,47445,7.9397196754,99.71731523
National,NA,NA,All,2010-11,201119,3,3739,3742,47544,7.870604072,99.925388035
National,NA,NA,All,2010-11,201120,7,3580,3587,46690,7.6825872778,98.130497378
National,NA,NA,All,2010-11,201121,5,3550,3555,46662,7.6186190048,98.071648504
National,NA,NA,All,2010-11,201122,5,3498,3503,46317,7.5630977827,97.346546307
National,NA,NA,All,2010-11,201123,3,3462,3465,46594,7.4365798171,97.92872981
National,NA,NA,All,2010-11,201124,5,3341,3346,46059,7.2645954102,96.804295968
National,NA,NA,All,2010-11,201125,2,3336,3338,45804,7.2875731377,96.268350865
